Scaffold	start	stop	strand	Protein ID	Blast
Scaffold_1	901970	902935	+	ANN00130-RA	Similar to Sgs4: Salivary glue protein Sgs-4 (Drosophila melanogaster OX%3D7227)
Scaffold_1	903065	903514	+	ANN00131-RA	Protein of unknown function
Scaffold_1	903118	905774	-	ANN00132-RA	Protein of unknown function
Scaffold_1	905910	911978	+	ANN00133-RA	Similar to Tf2-9: Transposon Tf2-9 polyprotein (Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX%3D284812)
Scaffold_1	912977	915617	-	ANN00134-RA	Similar to pol: Retrovirus-related Pol polyprotein from transposon 17.6 (Drosophila melanogaster OX%3D7227)
Scaffold_1	919197	921090	+	ANN00135-RA	Similar to PGBD4: PiggyBac transposable element-derived protein 4 (Homo sapiens OX%3D9606)
Scaffold_1	927244	928700	+	ANN00136-RA	Protein of unknown function
Scaffold_1	932318	932539	+	ANN00137-RA	Protein of unknown function
Scaffold_1	934344	934868	+	ANN00138-RA	Protein of unknown function
Scaffold_1	934875	936615	+	ANN00139-RA	Protein of unknown function
Scaffold_1	939674	941623	+	ANN00140-RA	Protein of unknown function
Scaffold_1	941820	944452	+	ANN00141-RA	Similar to pol: RNA-directed DNA polymerase from mobile element jockey (Drosophila melanogaster OX%3D7227)
Scaffold_1	944485	946887	-	ANN00142-RA	Protein of unknown function
Scaffold_1	949389	950002	-	ANN00143-RA	Similar to Tf2-9: Transposon Tf2-9 polyprotein (Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX%3D284812)
Scaffold_1	954768	955318	+	ANN00144-RA	Similar to PGBD4: PiggyBac transposable element-derived protein 4 (Homo sapiens OX%3D9606)
Scaffold_1	957500	958508	-	ANN00145-RA	Protein of unknown function
Scaffold_1	961088	961753	-	ANN00146-RA	Protein of unknown function
Scaffold_1	961811	963237	-	ANN00147-RA	Similar to PGBD4: PiggyBac transposable element-derived protein 4 (Homo sapiens OX%3D9606)
Scaffold_1	963664	965587	-	ANN00148-RA	Protein of unknown function
Scaffold_1	965608	966973	-	ANN00149-RA	Similar to PGBD3: PiggyBac transposable element-derived protein 3 (Homo sapiens OX%3D9606)
Scaffold_1	968552	968950	-	ANN00150-RA	Similar to PGBD4: PiggyBac transposable element-derived protein 4 (Homo sapiens OX%3D9606)
Scaffold_1	970867	972915	-	ANN00151-RA	Protein of unknown function
Scaffold_1	984920	986266	-	ANN00152-RA	Protein of unknown function
Scaffold_1	989778	990485	-	ANN00153-RA	Similar to pif1: ATP-dependent DNA helicase pif1 (Psychrobacter sp. (strain PRwf-1) OX%3D349106)
Scaffold_1	990846	992581	-	ANN00154-RA	Protein of unknown function
Scaffold_1	993993	995258	-	ANN00155-RA	Similar to pol: Retrovirus-related Pol polyprotein from transposon opus (Drosophila melanogaster OX%3D7227)
Scaffold_1	997272	1002068	-	ANN00156-RA	Similar to RTase: Probable RNA-directed DNA polymerase from transposon BS (Drosophila melanogaster OX%3D7227)
Scaffold_1	1015584	1017571	-	ANN00157-RA	Protein of unknown function
Scaffold_1	1018312	1018563	-	ANN00158-RA	Protein of unknown function
Scaffold_1	1024729	1029337	-	ANN00159-RA	Protein of unknown function
Scaffold_1	1031039	1032722	-	ANN00160-RA	Protein of unknown function
Scaffold_1	1032831	1033685	-	ANN00161-RA	Protein of unknown function
Scaffold_1	1044052	1046716	-	ANN00162-RA	Similar to X-element\ORF2: Probable RNA-directed DNA polymerase from transposon X-element (Drosophila melanogaster OX%3D7227)
Scaffold_1	1047096	1049463	-	ANN00163-RA	Similar to ORF1: Nucleic-acid-binding protein from transposon X-element (Drosophila melanogaster OX%3D7227)
Scaffold_1	1053870	1055147	-	ANN00164-RA	Protein of unknown function
Scaffold_1	1056962	1058137	-	ANN00165-RA	Protein of unknown function
Scaffold_1	1086624	1089206	-	ANN00166-RA	Similar to ZNF862: Zinc finger protein 862 (Homo sapiens OX%3D9606)
Scaffold_1	1090792	1092058	+	ANN00167-RA	Similar to harbi1: Putative nuclease HARBI1 (Danio rerio OX%3D7955)
Scaffold_1	1098665	1099000	-	ANN00168-RA	Protein of unknown function
Scaffold_1	1113132	1114963	+	ANN00169-RA	Similar to RTase: Probable RNA-directed DNA polymerase from transposon BS (Drosophila melanogaster OX%3D7227)
Scaffold_1	1116930	1118647	+	ANN00170-RA	Similar to thap1: THAP domain-containing protein 1 (Salmo salar OX%3D8030)
Scaffold_1	1123664	1127837	-	ANN00171-RA	Similar to CFDP2: Craniofacial development protein 2 (Bos taurus OX%3D9913)
Scaffold_1	1131051	1135552	+	ANN00172-RA	Similar to Sperm acrosomal protein FSA-ACR.1 (Fragment) (Vulpes vulpes OX%3D9627)
Scaffold_1	1137210	1139976	+	ANN00173-RA	Protein of unknown function
Scaffold_1	1140519	1150386	-	ANN00174-RA	Similar to K02A2.6: Uncharacterized protein K02A2.6 (Caenorhabditis elegans OX%3D6239)
Scaffold_1	1159527	1160519	+	ANN00175-RA	Protein of unknown function
Scaffold_1	1179338	1180447	-	ANN00176-RA	Protein of unknown function
Scaffold_1	1193947	1194952	+	ANN00177-RA	Similar to pol: Retrovirus-related Pol polyprotein from transposon opus (Drosophila melanogaster OX%3D7227)
Scaffold_1	1196324	1196974	-	ANN00178-RA	Protein of unknown function
Scaffold_1	1199598	1203312	+	ANN00179-RA	Similar to GVQW3: Protein GVQW3 (Homo sapiens OX%3D9606)
Scaffold_1	1208125	1215919	+	ANN00180-RA	Protein of unknown function
Scaffold_1	1220129	1222143	+	ANN00181-RA	Protein of unknown function
Scaffold_1	1222935	1223951	+	ANN00182-RA	Protein of unknown function
Scaffold_1	1224028	1225564	+	ANN00183-RA	Protein of unknown function
Scaffold_1	1226307	1229157	+	ANN00184-RA	Protein of unknown function
Scaffold_1	1232254	1237300	+	ANN00185-RA	Similar to Retrovirus-related Pol polyprotein from type-1 retrotransposable element R1 (Fragment) (Bradysia coprophila OX%3D38358)
Scaffold_1	1244766	1245903	+	ANN00186-RA	Protein of unknown function
Scaffold_1	1248247	1249131	+	ANN00187-RA	Similar to ZBED5: Zinc finger BED domain-containing protein 5 (Bos taurus OX%3D9913)
Scaffold_1	1249284	1249989	+	ANN00188-RA	Protein of unknown function
Scaffold_1	1275866	1276780	+	ANN00189-RA	Protein of unknown function
Scaffold_1	1280414	1281812	+	ANN00190-RA	Protein of unknown function
Scaffold_1	1282642	1287396	+	ANN00191-RA	Protein of unknown function
Scaffold_1	1328433	1329884	-	ANN00192-RA	Protein of unknown function
Scaffold_1	1333430	1335824	-	ANN00193-RA	Similar to PGBD3: PiggyBac transposable element-derived protein 3 (Homo sapiens OX%3D9606)
Scaffold_1	1341133	1341438	-	ANN00194-RA	Similar to tc3a: Transposable element Tc3 transposase (Caenorhabditis elegans OX%3D6239)
Scaffold_1	1341652	1344539	-	ANN00195-RA	Similar to Transposable element Tcb2 transposase (Caenorhabditis briggsae OX%3D6238)
Scaffold_1	1347881	1352067	-	ANN00196-RA	Protein of unknown function
Scaffold_1	1352350	1353409	-	ANN00197-RA	Protein of unknown function
Scaffold_1	1353473	1354671	-	ANN00198-RA	Protein of unknown function
Scaffold_1	1362793	1363845	-	ANN00199-RA	Similar to GTF2IRD2: General transcription factor II-I repeat domain-containing protein 2 (Bos taurus OX%3D9913)
Scaffold_1	1363870	1367351	-	ANN00200-RA	Similar to GTF2IRD2: General transcription factor II-I repeat domain-containing protein 2 (Bos taurus OX%3D9913)
Scaffold_1	1365169	1366257	+	ANN00201-RA	Similar to tc3a: Transposable element Tc3 transposase (Caenorhabditis elegans OX%3D6239)
Scaffold_1	1373552	1375050	-	ANN00202-RA	Similar to R1A1-element\ORF2: Putative 115 kDa protein in type-1 retrotransposable element R1DM (Drosophila melanogaster OX%3D7227)
Scaffold_1	1430612	1434012	-	ANN00203-RA	Similar to RTase: Probable RNA-directed DNA polymerase from transposon BS (Drosophila melanogaster OX%3D7227)
Scaffold_1	1434194	1443373	-	ANN00204-RA	Similar to Mctp: Multiple C2 and transmembrane domain-containing protein (Drosophila melanogaster OX%3D7227)
Scaffold_1	1452584	1454924	+	ANN00205-RA	Similar to pip1: RING-box protein pip1 (Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX%3D284812)
Scaffold_1	1466339	1468649	-	ANN00206-RA	Protein of unknown function
Scaffold_1	1497209	1502866	-	ANN00207-RA	Protein of unknown function
Scaffold_1	1504150	1505223	-	ANN00208-RA	Protein of unknown function
Scaffold_1	1506385	1509232	-	ANN00209-RA	Protein of unknown function
Scaffold_1	1542912	1544104	+	ANN00210-RA	Protein of unknown function
Scaffold_1	1545513	1546615	+	ANN00211-RA	Protein of unknown function
Scaffold_1	1570661	1571281	+	ANN00212-RA	Protein of unknown function
Scaffold_1	1572550	1576473	-	ANN00213-RA	Similar to Cfap57: Cilia- and flagella-associated protein 57 (Mus musculus OX%3D10090)
Scaffold_1	1593070	1595447	+	ANN00214-RA	Similar to PGBD3: PiggyBac transposable element-derived protein 3 (Homo sapiens OX%3D9606)
Scaffold_1	1599807	1601273	+	ANN00215-RA	Similar to K02A2.6: Uncharacterized protein K02A2.6 (Caenorhabditis elegans OX%3D6239)
Scaffold_1	1602952	1604727	+	ANN00216-RA	Protein of unknown function
Scaffold_1	1605018	1607969	+	ANN00217-RA	Similar to Retrovirus-related Pol polyprotein from type-1 retrotransposable element R1 (Fragment) (Bradysia coprophila OX%3D38358)
Scaffold_1	1609142	1611301	+	ANN00218-RA	Similar to HARBI1: Putative nuclease HARBI1 (Bos taurus OX%3D9913)
Scaffold_1	1620307	1621212	-	ANN00219-RA	Similar to pol: RNA-directed DNA polymerase from mobile element jockey (Drosophila melanogaster OX%3D7227)
Scaffold_1	1621682	1623674	-	ANN00220-RA	Protein of unknown function
Scaffold_1	1627049	1629109	-	ANN00221-RA	Protein of unknown function
Scaffold_1	1630474	1631604	-	ANN00222-RA	Protein of unknown function
Scaffold_1	1632291	1632800	-	ANN00223-RA	Protein of unknown function
Scaffold_1	1632836	1634559	-	ANN00224-RA	Protein of unknown function
Scaffold_1	1643785	1644855	+	ANN00225-RA	Similar to Retrovirus-related Pol polyprotein from type-1 retrotransposable element R1 (Fragment) (Bradysia coprophila OX%3D38358)
Scaffold_1	1644903	1649219	+	ANN00226-RA	Similar to Retrovirus-related Pol polyprotein from type-1 retrotransposable element R1 (Fragment) (Bradysia coprophila OX%3D38358)
Scaffold_1	1648227	1648895	-	ANN00227-RA	Similar to GVQW3: Protein GVQW3 (Homo sapiens OX%3D9606)
Scaffold_1	1654474	1655261	-	ANN00228-RA	Protein of unknown function
Scaffold_1	1656218	1658338	+	ANN00229-RA	Protein of unknown function
Scaffold_1	1662888	1665824	-	ANN00230-RA	Protein of unknown function
Scaffold_1	1671442	1672392	-	ANN00231-RA	Protein of unknown function
Scaffold_1	1699535	1701196	+	ANN00232-RA	Protein of unknown function
Scaffold_1	1701294	1702088	+	ANN00233-RA	Protein of unknown function
Scaffold_1	1702112	1705430	+	ANN00234-RA	Similar to PIF1: ATP-dependent DNA helicase PIF1 (Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX%3D559292)
Scaffold_1	1707945	1708298	+	ANN00235-RA	Protein of unknown function
Scaffold_1	1708337	1708903	+	ANN00236-RA	Protein of unknown function
Scaffold_1	1715056	1718309	-	ANN00237-RA	Similar to TIGD6: Tigger transposable element-derived protein 6 (Homo sapiens OX%3D9606)
Scaffold_1	1718428	1724510	-	ANN00238-RA	Protein of unknown function
Scaffold_1	1719265	1719660	+	ANN00239-RA	Similar to Tf2-6: Transposon Tf2-6 polyprotein (Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX%3D284812)
Scaffold_1	1719692	1721519	+	ANN00240-RA	Similar to K02A2.6: Uncharacterized protein K02A2.6 (Caenorhabditis elegans OX%3D6239)
Scaffold_1	1721577	1721906	+	ANN00241-RA	Protein of unknown function
Scaffold_1	1743496	1745670	-	ANN00242-RA	Similar to X-element\ORF2: Probable RNA-directed DNA polymerase from transposon X-element (Drosophila melanogaster OX%3D7227)
Scaffold_1	1748168	1749643	+	ANN00243-RA	Similar to ZBED1: Zinc finger BED domain-containing protein 1 (Homo sapiens OX%3D9606)
Scaffold_1	1762775	1764927	+	ANN00244-RA	Similar to HARBI1: Putative nuclease HARBI1 (Bos taurus OX%3D9913)
Scaffold_1	1769107	1769505	-	ANN00245-RA	Protein of unknown function
Scaffold_1	1775502	1777508	+	ANN00246-RA	Similar to JRKL: Jerky protein homolog-like (Homo sapiens OX%3D9606)
Scaffold_1	1779418	1782180	-	ANN00247-RA	Similar to jockey\pol: RNA-directed DNA polymerase from mobile element jockey (Drosophila funebris OX%3D7221)
Scaffold_1	1783948	1784688	+	ANN00248-RA	Protein of unknown function
Scaffold_1	1785005	1786600	-	ANN00249-RA	Similar to GIP: Copia protein (Drosophila melanogaster OX%3D7227)
Scaffold_1	1787060	1787689	+	ANN00250-RA	Protein of unknown function
Scaffold_1	1787711	1788961	+	ANN00251-RA	Similar to PGBD3: PiggyBac transposable element-derived protein 3 (Homo sapiens OX%3D9606)
Scaffold_1	1789594	1793068	-	ANN00252-RA	Similar to Retrovirus-related Pol polyprotein from transposon TNT 1-94 (Nicotiana tabacum OX%3D4097)
Scaffold_1	1793943	1794206	+	ANN00253-RA	Protein of unknown function
Scaffold_1	1798995	1802745	+	ANN00254-RA	Protein of unknown function
Scaffold_1	1805398	1807847	-	ANN00255-RA	Protein of unknown function
Scaffold_1	1808503	1811129	+	ANN00256-RA	Similar to Jrkl: Jerky protein homolog-like (Mus musculus OX%3D10090)
Scaffold_1	1812544	1814094	-	ANN00257-RA	Similar to PGBD3: PiggyBac transposable element-derived protein 3 (Homo sapiens OX%3D9606)
Scaffold_1	1819945	1824161	-	ANN00258-RA	Protein of unknown function
Scaffold_1	1820609	1823316	+	ANN00259-RA	Protein of unknown function
Scaffold_1	1824019	1826380	+	ANN00260-RA	Protein of unknown function
Scaffold_1	1840523	1841763	-	ANN00261-RA	Similar to K02A2.6: Uncharacterized protein K02A2.6 (Caenorhabditis elegans OX%3D6239)
Scaffold_1	1841791	1843300	-	ANN00262-RA	Similar to pol: Retrovirus-related Pol polyprotein from transposon 297 (Drosophila melanogaster OX%3D7227)
Scaffold_1	1843376	1845010	+	ANN00263-RA	Protein of unknown function
Scaffold_1	1859657	1862260	+	ANN00264-RA	Similar to Retrovirus-related Pol polyprotein from type-1 retrotransposable element R2 (Fragment) (Nasonia vitripennis OX%3D7425)
Scaffold_1	1863262	1864974	-	ANN00265-RA	Protein of unknown function
Scaffold_1	1870694	1873550	+	ANN00266-RA	Similar to pol: Retrovirus-related Pol polyprotein from transposon opus (Drosophila melanogaster OX%3D7227)
Scaffold_1	1876425	1882682	-	ANN00267-RA	Similar to PGBD3: PiggyBac transposable element-derived protein 3 (Homo sapiens OX%3D9606)
Scaffold_1	1884786	1885381	+	ANN00268-RA	Protein of unknown function
Scaffold_1	1887340	1887915	+	ANN00269-RA	Protein of unknown function
Scaffold_1	1887957	1888502	+	ANN00270-RA	Protein of unknown function
Scaffold_1	1892034	1892429	+	ANN00271-RA	Protein of unknown function
